Serial Number,Product ID,Product Image (URL),SKU,Product Name,Brand,Version ,Short description,Description,Price,Product Type,Category,Compatible products titles,Data Sheet/User Guide
TRAEMP300MCD21V,TRAEMP300MCD21V,https://communitycontrols.com/emperor-remotes/emperor-300-mhz-visor-remote/,,"Transmitter, Community Controls Emperor 300 Frequency 1 Button Visor Style Model 300MCD21V",Community Controls,,"Transmitter, Community Controls Emperor 300 Frequency 1 Button Visor Style Model 300MCD21V. Gray in Color with White Button ","Transmitter, Community Controls Emperor 300 Frequency 1 Button Visor Style Model 300MCD21V. Gray in Color with White Button ",$14.07,Remote/Transmitter,,"MULTICODE ®REMOTES: 3089 or 308911, 1089, 3083, 4120, 3070 and 3060, Chamberlain 300MC, Carper 300, Dig-code Remotes DC 5010 and DC5040, Heddolf P-219, Apollo 300",
COIAWID20-BLANK,COIAWID20-BLANK,https://communitycontrols.com/awid-cards-fobs/awid-26-bit-coil/,,AWID Coil Insert For Door Control,AWID,,AWID Coil Insert For Door Control,AWID Coil Insert For Door Control,$3.86,Coil,,"AWID Access Cards, AWID Key Fob, AWID Adhesive Coils",
CARFOBTUMBLER-BLANK,CARFOBTUMBLER-BLANK,https://communitycontrols.com/mango-cards-fobs-2/mango-hid-tumbler-key-fob/,,Community Controls Tumbler Fob - Blank,Community Controls,,Community Controls Tumbler Fob - Blank - Specific FC and Numbering Required,Community Controls Tumbler Fob - Blank - Specific FC and Numbering Required,$4.00,Fob,,"HID Prox Key II, Prox Key III, HID Clamshell, HID IsoProx, Mango Clamshell/Iso prox cards, Mango Fobs",
CARFOBTEARGRAY-BLANK,CARFOBTEARGRAY-BLANK,https://communitycontrols.com/mango-cards-fobs-2/mango-tear-drop-fob/,,Community Controls Teardrop Gray Key Fob - HID or EM Format,Community Controls,,Community Controls Teardrop Gray Key Fob - HID or EM Format - Additional Print/Programming Line Required,Community Controls Teardrop Gray Key Fob - HID or EM Format - Additional Print/Programming Line Required,$4.12,Fob,,"HID Prox Key II, Prox Key III, HID Clamshell, HID IsoProx, Mango Clamshell/Iso prox cards, Mango Fobs",
CARAWIDTAG-SPE,CARAWIDTAG-SPE,https://communitycontrols.com/awid-cards-fobs/awid-uhf-windshield-sticker-tag/,,AWID UHF Controlled Access Windshield Tag WS-UHF-0-0,AWID,,AWID UHF Controlled Access Windshield Tag WS-UHF-0-0. Must supply FC & Starting #. Sold in Qty's of 25 (Special Order),AWID UHF Controlled Access Windshield Tag WS-UHF-0-0. Must supply FC & Starting #. Sold in Qty's of 25 (Special Order),$10.19,UHF Transponder/Tag,,"AWID UHF Systems, LR-2000/LR-3000 readers, Hang Tags, Visor Tags, Side view Mirror tags, UHF Card",
CARTAGAHEADLAMP,CARTAGAHEADLAMP,Not on Website,,Transcore eGo Plus Headlamp Sticker Tag,TransCore,,Transcore eGo Plus Headlamp Sticker Tag,Transcore eGo Plus Headlamp Sticker Tag,$18.30,UHF Transponder/Tag,,"5402 Tag, 5406 Tag, Mini external tag, Ego License Plate Tag, eGo Headlamp Tag",
CARFOBMANBLU-BLANK,CARFOBMANBLU-BLANK,https://communitycontrols.com/mango-cards-fobs-2/mango-hid-compatible-fob/,,Community Controls Mango Blue Key Fob - HID or EM Format,Community Controls,,Community Controls Mango Blue Key Fob - HID or EM Format - Additional Print/Programming Line Required,Community Controls Mango Blue Key Fob - HID or EM Format - Additional Print/Programming Line Required,$3.61,Fob,,"HID Prox Key II, Prox Key III, HID Clamshell, HID IsoProx, Mango Clamshell/Iso prox cards, Mango Fobs",
TRADOO8066-080,TRADOO8066-080,https://communitycontrols.com/doorking-remotes/doorking-microclik-8066-080-remote/,,"8066-080 Transmitter, Doorking MicroCLIK 1-Button Transmitter.  Gray in Color.",Doorking,,"8066-080 Transmitter, Doorking MicroCLIK 1-Button Transmitter.  Gray in Color.  This is for Stock items off of the shelf.  No special orders.","8066-080 Transmitter, Doorking MicroCLIK 1-Button Transmitter.  Gray in Color.  This is for Stock items off of the shelf.  No special orders.",$28.67,Remote/Transmitter,,"Doorking 8066-080,8067-080,8068-080,  Monarch/Stingray 318 (Red Button)",
IDCR8030MLPS,IDCR8030MLPS,Not on Website,,IDCR8030MLPS Allsafe CR 80 30 mil PVC card plus adhesive back,ALLSAFE,,IDCR8030MLPS Allsafe CR 80 30 mil PVC card plus adhesive back (add $15.00 P/N Handling Fee) Min 1000,IDCR8030MLPS Allsafe CR 80 30 mil PVC card plus adhesive back (add $15.00 P/N Handling Fee) Min 1000,$0.45,Card,,PVC Cards,
TRADOO8069-086,TRADOO8069-086,Not on Website,,Doorking MicroPLUS 1 Button Remote with Doorking Proximity Tag,Doorking,,Doorking MicroPLUS 1 Button Remote with Doorking Proximity Tag - Sold in Quantities of 10,Doorking MicroPLUS 1 Button Remote with Doorking Proximity Tag - Sold in Quantities of 10,$33.20,Remote/Transmitter,,"Doorking 8070-086, Doorking 8071-086",
